asv,n,prop,ncomp,eta
asv.2553,1,0.04,7,0.6107768013327781
asv.25570,5,0.2,7,0.6107768013327781
asv.25578,3,0.12,7,0.6107768013327781
asv.25605,3,0.12,7,0.6107768013327781
asv.25659,2,0.08,7,0.6107768013327781
asv.2566,18,0.72,7,0.6107768013327781
asv.25798,1,0.04,7,0.6107768013327781
asv.25886,1,0.04,7,0.6107768013327781
asv.25924,2,0.08,7,0.6107768013327781
asv.25936,7,0.28,7,0.6107768013327781
asv.25992,1,0.04,7,0.6107768013327781
asv.26119,4,0.16,7,0.6107768013327781
asv.26264,2,0.08,7,0.6107768013327781
asv.26290,1,0.04,7,0.6107768013327781
asv.26333,2,0.08,7,0.6107768013327781
asv.26352,2,0.08,7,0.6107768013327781
asv.26383,2,0.08,7,0.6107768013327781
asv.26498,4,0.16,7,0.6107768013327781
asv.26511,2,0.08,7,0.6107768013327781
asv.26631,20,0.8,7,0.6107768013327781
asv.26645,1,0.04,7,0.6107768013327781
asv.2667,6,0.24,7,0.6107768013327781
asv.2676,2,0.08,7,0.6107768013327781
asv.26765,1,0.04,7,0.6107768013327781
asv.26779,1,0.04,7,0.6107768013327781
asv.26820,1,0.04,7,0.6107768013327781
asv.26874,1,0.04,7,0.6107768013327781
asv.26960,3,0.12,7,0.6107768013327781
asv.26970,6,0.24,7,0.6107768013327781
asv.27124,3,0.12,7,0.6107768013327781
asv.27132,2,0.08,7,0.6107768013327781
asv.2717,4,0.16,7,0.6107768013327781
asv.27268,3,0.12,7,0.6107768013327781
asv.27618,2,0.08,7,0.6107768013327781
asv.27753,1,0.04,7,0.6107768013327781
asv.28005,3,0.12,7,0.6107768013327781
asv.28115,3,0.12,7,0.6107768013327781
asv.28138,25,1,7,0.6107768013327781
asv.282,19,0.76,7,0.6107768013327781
asv.28221,3,0.12,7,0.6107768013327781
asv.28271,3,0.12,7,0.6107768013327781
asv.28275,1,0.04,7,0.6107768013327781
asv.28353,1,0.04,7,0.6107768013327781
asv.28471,1,0.04,7,0.6107768013327781
asv.28493,2,0.08,7,0.6107768013327781
asv.28525,2,0.08,7,0.6107768013327781
asv.28616,2,0.08,7,0.6107768013327781
asv.28646,19,0.76,7,0.6107768013327781
asv.28712,1,0.04,7,0.6107768013327781
asv.28753,4,0.16,7,0.6107768013327781
asv.28794,23,0.92,7,0.6107768013327781
asv.28887,3,0.12,7,0.6107768013327781
asv.289,2,0.08,7,0.6107768013327781
asv.28904,1,0.04,7,0.6107768013327781
asv.28914,8,0.32,7,0.6107768013327781
asv.29001,1,0.04,7,0.6107768013327781
asv.29047,2,0.08,7,0.6107768013327781
asv.29171,7,0.28,7,0.6107768013327781
asv.29286,1,0.04,7,0.6107768013327781
asv.29294,2,0.08,7,0.6107768013327781
asv.29345,2,0.08,7,0.6107768013327781
asv.29404,1,0.04,7,0.6107768013327781
asv.29450,3,0.12,7,0.6107768013327781
asv.29480,1,0.04,7,0.6107768013327781
asv.29490,1,0.04,7,0.6107768013327781
asv.29514,3,0.12,7,0.6107768013327781
asv.29561,12,0.48,7,0.6107768013327781
asv.29593,1,0.04,7,0.6107768013327781
asv.29816,1,0.04,7,0.6107768013327781
asv.29904,2,0.08,7,0.6107768013327781
asv.29953,24,0.96,7,0.6107768013327781
asv.29961,2,0.08,7,0.6107768013327781
asv.29975,3,0.12,7,0.6107768013327781
asv.30001,21,0.84,7,0.6107768013327781
asv.30016,1,0.04,7,0.6107768013327781
asv.30033,4,0.16,7,0.6107768013327781
asv.30146,10,0.4,7,0.6107768013327781
asv.302,2,0.08,7,0.6107768013327781
asv.30298,3,0.12,7,0.6107768013327781
asv.30365,1,0.04,7,0.6107768013327781
asv.30637,2,0.08,7,0.6107768013327781
asv.30844,8,0.32,7,0.6107768013327781
asv.30880,4,0.16,7,0.6107768013327781
asv.30937,8,0.32,7,0.6107768013327781
asv.30978,15,0.6,7,0.6107768013327781
asv.30987,1,0.04,7,0.6107768013327781
asv.31134,8,0.32,7,0.6107768013327781
asv.31135,1,0.04,7,0.6107768013327781
asv.3119,1,0.04,7,0.6107768013327781
asv.31220,4,0.16,7,0.6107768013327781
asv.31466,25,1,7,0.6107768013327781
asv.31615,5,0.2,7,0.6107768013327781
asv.3184,10,0.4,7,0.6107768013327781
asv.31897,4,0.16,7,0.6107768013327781
asv.32065,9,0.36,7,0.6107768013327781
asv.32287,2,0.08,7,0.6107768013327781
asv.32377,1,0.04,7,0.6107768013327781
asv.32412,1,0.04,7,0.6107768013327781
asv.32463,3,0.12,7,0.6107768013327781
asv.32506,6,0.24,7,0.6107768013327781
asv.32512,2,0.08,7,0.6107768013327781
asv.32575,4,0.16,7,0.6107768013327781
asv.32773,2,0.08,7,0.6107768013327781
asv.32838,1,0.04,7,0.6107768013327781
asv.32890,1,0.04,7,0.6107768013327781
asv.32900,2,0.08,7,0.6107768013327781
asv.32974,1,0.04,7,0.6107768013327781
asv.33071,2,0.08,7,0.6107768013327781
asv.33143,3,0.12,7,0.6107768013327781
asv.332,1,0.04,7,0.6107768013327781
asv.3343,9,0.36,7,0.6107768013327781
asv.33462,5,0.2,7,0.6107768013327781
asv.3348,1,0.04,7,0.6107768013327781
asv.33646,6,0.24,7,0.6107768013327781
asv.33690,1,0.04,7,0.6107768013327781
asv.33780,20,0.8,7,0.6107768013327781
asv.33852,2,0.08,7,0.6107768013327781
asv.33902,21,0.84,7,0.6107768013327781
asv.3391,1,0.04,7,0.6107768013327781
asv.34054,1,0.04,7,0.6107768013327781
asv.3410,1,0.04,7,0.6107768013327781
asv.34105,4,0.16,7,0.6107768013327781
asv.34108,9,0.36,7,0.6107768013327781
asv.34127,12,0.48,7,0.6107768013327781
asv.34210,2,0.08,7,0.6107768013327781
asv.34239,1,0.04,7,0.6107768013327781
asv.34266,19,0.76,7,0.6107768013327781
asv.34366,5,0.2,7,0.6107768013327781
asv.34682,2,0.08,7,0.6107768013327781
asv.34689,2,0.08,7,0.6107768013327781
asv.34693,3,0.12,7,0.6107768013327781
asv.34767,10,0.4,7,0.6107768013327781
asv.35244,19,0.76,7,0.6107768013327781
asv.35264,2,0.08,7,0.6107768013327781
asv.35311,3,0.12,7,0.6107768013327781
asv.35393,5,0.2,7,0.6107768013327781
asv.35508,1,0.04,7,0.6107768013327781
asv.35584,6,0.24,7,0.6107768013327781
asv.35737,1,0.04,7,0.6107768013327781
asv.35769,1,0.04,7,0.6107768013327781
asv.35792,2,0.08,7,0.6107768013327781
asv.35832,7,0.28,7,0.6107768013327781
asv.35931,2,0.08,7,0.6107768013327781
asv.35975,2,0.08,7,0.6107768013327781
asv.36095,19,0.76,7,0.6107768013327781
asv.36212,1,0.04,7,0.6107768013327781
asv.36223,3,0.12,7,0.6107768013327781
asv.3638,7,0.28,7,0.6107768013327781
asv.36551,1,0.04,7,0.6107768013327781
asv.36620,1,0.04,7,0.6107768013327781
asv.36806,9,0.36,7,0.6107768013327781
asv.36925,24,0.96,7,0.6107768013327781
asv.36950,1,0.04,7,0.6107768013327781
asv.36958,1,0.04,7,0.6107768013327781
asv.3697,6,0.24,7,0.6107768013327781
asv.36994,2,0.08,7,0.6107768013327781
asv.37190,10,0.4,7,0.6107768013327781
asv.37268,1,0.04,7,0.6107768013327781
asv.37282,4,0.16,7,0.6107768013327781
asv.37316,4,0.16,7,0.6107768013327781
asv.37319,6,0.24,7,0.6107768013327781
asv.37364,1,0.04,7,0.6107768013327781
asv.37371,7,0.28,7,0.6107768013327781
asv.37475,3,0.12,7,0.6107768013327781
asv.37554,1,0.04,7,0.6107768013327781
asv.37702,5,0.2,7,0.6107768013327781
asv.37757,1,0.04,7,0.6107768013327781
asv.37804,3,0.12,7,0.6107768013327781
asv.37890,2,0.08,7,0.6107768013327781
asv.380,12,0.48,7,0.6107768013327781
asv.38036,18,0.72,7,0.6107768013327781
asv.3836,8,0.32,7,0.6107768013327781
asv.38417,1,0.04,7,0.6107768013327781
asv.38467,1,0.04,7,0.6107768013327781
asv.38472,20,0.8,7,0.6107768013327781
asv.38485,6,0.24,7,0.6107768013327781
asv.38490,2,0.08,7,0.6107768013327781
asv.38495,3,0.12,7,0.6107768013327781
asv.38533,24,0.96,7,0.6107768013327781
asv.38564,2,0.08,7,0.6107768013327781
asv.38616,4,0.16,7,0.6107768013327781
asv.38637,2,0.08,7,0.6107768013327781
asv.3868,6,0.24,7,0.6107768013327781
asv.38802,3,0.12,7,0.6107768013327781
asv.3885,7,0.28,7,0.6107768013327781
asv.38870,2,0.08,7,0.6107768013327781
asv.38878,4,0.16,7,0.6107768013327781
asv.39057,22,0.88,7,0.6107768013327781
asv.39076,3,0.12,7,0.6107768013327781
asv.39094,9,0.36,7,0.6107768013327781
asv.39226,1,0.04,7,0.6107768013327781
asv.3923,24,0.96,7,0.6107768013327781
asv.39237,8,0.32,7,0.6107768013327781
asv.39330,2,0.08,7,0.6107768013327781
asv.39412,1,0.04,7,0.6107768013327781
asv.39536,1,0.04,7,0.6107768013327781
asv.39561,1,0.04,7,0.6107768013327781
asv.3959,2,0.08,7,0.6107768013327781
asv.39609,1,0.04,7,0.6107768013327781
asv.39844,1,0.04,7,0.6107768013327781
asv.39888,3,0.12,7,0.6107768013327781
asv.39983,3,0.12,7,0.6107768013327781
asv.4000,2,0.08,7,0.6107768013327781
asv.40029,1,0.04,7,0.6107768013327781
asv.40107,1,0.04,7,0.6107768013327781
asv.40198,21,0.84,7,0.6107768013327781
asv.40269,3,0.12,7,0.6107768013327781
asv.40306,1,0.04,7,0.6107768013327781
asv.40319,4,0.16,7,0.6107768013327781
asv.40327,2,0.08,7,0.6107768013327781
asv.40403,25,1,7,0.6107768013327781
asv.40417,5,0.2,7,0.6107768013327781
asv.40450,1,0.04,7,0.6107768013327781
asv.40529,11,0.44,7,0.6107768013327781
asv.40604,2,0.08,7,0.6107768013327781
asv.40628,22,0.88,7,0.6107768013327781
asv.40784,9,0.36,7,0.6107768013327781
asv.40791,1,0.04,7,0.6107768013327781
asv.40812,7,0.28,7,0.6107768013327781
asv.40819,2,0.08,7,0.6107768013327781
asv.40821,1,0.04,7,0.6107768013327781
asv.40885,1,0.04,7,0.6107768013327781
asv.40918,7,0.28,7,0.6107768013327781
asv.40927,2,0.08,7,0.6107768013327781
asv.40992,2,0.08,7,0.6107768013327781
asv.41095,1,0.04,7,0.6107768013327781
asv.4123,3,0.12,7,0.6107768013327781
asv.41233,10,0.4,7,0.6107768013327781
asv.41259,6,0.24,7,0.6107768013327781
asv.41475,11,0.44,7,0.6107768013327781
asv.41479,9,0.36,7,0.6107768013327781
asv.41541,1,0.04,7,0.6107768013327781
asv.41827,1,0.04,7,0.6107768013327781
asv.41861,4,0.16,7,0.6107768013327781
asv.41891,3,0.12,7,0.6107768013327781
