d,p,c,o,f,g,weight
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.194763353387696
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.11129523274369887
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.08624024935697232
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.11572945721685521
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.0820901478724763
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.10523018066293802
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Mitochondria, g__Mitochondria,0.11422480351978376
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.08059597948481463
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.10040930592905385
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.1348279132162251
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.09669623168457177
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Thalassobaculales, f__Nisaeaceae, g__OM75_clade,0.08438849322005258
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.09438809083908664
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.11891295394291526
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.11290312544364206
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Porticoccaceae, g__SAR92_clade,0.07864831757296975
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Formosa,0.10251249860966072
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cyclobacteriaceae, g__Marinoscillum,0.07936169428911471
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.0897117175093055
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.08087558199043034
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.08558205938766142
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.07677989264134719
