d,p,c,o,f,g,weight,coef_estimates
d__Eukaryota, p__Holozoa, c__Choanoflagellida, o__Acanthoecida,NA,NA,0.008016769813110202,-3.45076318085866
d__Eukaryota, p__Discoba, c__Discoba, o__Jakobida, f__Jakobida, g__Jakobida,0.003068439577175604,-6.391998654852663
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Kareniaceae, g__Karlodinium,0.020928008485981486,-5.8504720019930785
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.05197624314014302,8.200592848146695
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.22750923487885488,-5.573131834836874
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gonyaulacales, f__Gonyaulacales, g__Azadinium,0.10533794110027968,54.29289194829933
d__Eukaryota, p__Ochrophyta, c__MOCH-2, o__MOCH-2, f__MOCH-2, g__MOCH-2,0.06845532450955823,-0.8858848392404859
d__Eukaryota,NA,NA,NA,NA,NA,0.03220020721883156,26.949414447713245
d__Eukaryota, p__Diatomea, c__Mediophyceae, o__Mediophyceae, f__Mediophyceae, g__Mediophyceae,0.016846483577461543,6.868466067238588
d__Eukaryota, p__Ochrophyta, c__MOCH-2, o__MOCH-2, f__MOCH-2, g__MOCH-2,0.003625243066947627,2.6093519556945766
d__Bacteria, p__Proteobacteria,NA,NA,NA,NA,0.004198167261606796,-2.6677074240762924
d__Eukaryota,NA,NA,NA,NA,NA,0.5440482924615909,-68.58803240789443
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__OLI16029,0.01805569982911715,-1.0062789907944998
d__Eukaryota, p__Ochrophyta,NA,NA,NA,NA,0.013560958956457113,-2.7329140124147226
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Rubritaleaceae, g__Roseibacillus,0.005394797533697033,10.309646024695127
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__Candidatus_Puniceispirillum,0.046717437824675995,1.9410722605335118
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.20778385555558224,109.06488803124584
d__Eukaryota, p__Chlorophyta, c__Mamiellophyceae, o__Mamiellales, f__Mamiellales, g__Micromonas,0.08739313512443707,0.9937981459688094
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Telonema,0.010649140790249792,1.3494508775556515
d__Eukaryota, p__Ochrophyta, c__Chrysophyceae, o__uncultured, f__uncultured, g__uncultured,0.0016787473860191285,-1.977919131637152
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Conthreep, f__Oligohymenophorea, g__uncultured,0.017363392763621484,-17.866417899511404
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.030744091281964776,50.01465202219043
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.04212490506663248,16.04749458613221
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Pirsonia,0.004410653693432281,-5.1687296304996035
d__Eukaryota,NA,NA,NA,NA,NA,0.008315529210053579,9.179103743909511
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.02225508493537359,-43.7901068435128
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Chytriodinium,0.08066617941982397,-104.87113080852316
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales, g__Amoebophrya,0.005800302250126785,-1.606195883980068
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.15555213648911131,-21.762956471385603
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Paragymnodinium,0.027290073980331588,-16.876998513250985
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Conthreep, f__Nassophorea, g__uncultured,0.002059052854365513,-0.5046926253897497
d__Eukaryota, p__Ochrophyta, c__Pelagophyceae, o__Pelagophyceae, f__Pelagophyceae, g__Pelagophyceae,0.010364419236518102,-0.7777868864586404
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia,NA,0.09156131529802104,43.99884783635109
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodiniphycidae, g__Gyrodinium,0.10659272885831855,77.00059326594291
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Choreotrichia, g__uncultured,0.009378198640815948,2.758920311306863
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade,NA,0.9839015348198621,-14.07843264699434
d__Eukaryota, p__Ochrophyta, c__Chrysophyceae, o__uncultured, f__uncultured, g__uncultured,0.004809021902390908,1.7102006673223535
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia, g__Pseudotontonia,0.02503874736550126,-50.27366676907559
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.03180130526465758,-13.797424712220872
d__Eukaryota, p__Cryptophyceae, c__Cryptophyceae, o__Cryptomonadales, f__Cryptomonadales, g__Teleaulax,0.009777546676961195,4.712220673373979
d__Eukaryota, p__Picozoa, c__Picomonadida, o__Picomonadida, f__Picomonadida, g__Picomonadida,0.021812667241913223,4.166989275725116
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Conthreep, f__Phyllopharyngea, g__Pithites,0.00530109194758595,-4.0573325432224525
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.30078440840953485,-50.187623321443965
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade,NA,0.03308311971008953,-34.37600226831582
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Telonema,0.010760255133088734,3.0358094449693462
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.019293313704270395,6.16615311851948
d__Eukaryota, p__MAST-1, c__MAST-1D, o__MAST-1D, f__MAST-1D, g__MAST-1D,0.028990632458009633,-30.00276890176805
d__Eukaryota, p__Cercozoa, c__Chlorarachniophyta, o__Chlorarachniophyta, f__Chlorarachniophyta, g__NOR26,0.011126871233029786,-11.48684413163344
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.40320152132850756,121.78415210105115
d__Eukaryota, p__Ochrophyta, c__Ochrophyta, o__Ochrophyta, f__Ochrophyta, g__Bolidomonas,0.003642248723927509,1.1584483072202059
d__Eukaryota, p__Picozoa, c__Picozoa, o__Picozoa, f__Picozoa, g__Picozoa,0.0018149923828917765,-2.020319214384758
d__Eukaryota, p__MAST-3,NA,NA,NA,NA,0.009232399649138669,15.914661532298663
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__Chrysochromulina,0.019884124504338012,11.1963988979463
d__Eukaryota, p__Arthropoda, c__Maxillopoda, o__Calanoida, f__Calanoida, g__Calanoida,1.0404045568243119,7.9964408972792445
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__Chrysochromulina,0.005576376490226554,3.403298996366034
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.007371963388472644,-12.615836155225384
d__Eukaryota, p__Cnidaria, c__Hydrozoa, o__Trachylinae, f__Trachylinae, g__Trachylinae,0.07572958707155501,-24.978368841997003
d__Eukaryota, p__Prymnesiophyceae, c__uncultured, o__uncultured, f__uncultured, g__uncultured,0.08249389766503,26.229262298156577
d__Eukaryota, p__Chlorophyta, c__Mamiellophyceae, o__Mamiellales, f__Mamiellales, g__Bathycoccus,0.3223264431230997,-71.62924403231564
d__Eukaryota,NA,NA,NA,NA,NA,0.051229719041845624,-49.31540522439809
d__Eukaryota,NA,NA,NA,NA,NA,0.021255118215173743,-29.862155188769876
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.021133804929122972,-59.361007045380035
d__Eukaryota, p__Ciliophora, c__Intramacronucleata, o__Spirotrichea, f__Oligotrichia, g__Pseudotontonia,0.007698736934629994,4.131190265238209
